LIC_NAME,STR_NAME,lng,lat
NTUC FAIRPRICE CO-OPERATIVE LTD,UPPER BOON KENG ROAD,103.872542,1.312655
NTUC FAIRPRICE CO-OPERATIVE LTD,KIM TIAN ROAD,103.829298,1.284807
NTUC FAIRPRICE CO-OPERATIVE LTD,LORONG LIMAU,103.855671,1.323796
NTUC FAIRPRICE CO-OPERATIVE LTD,KITCHENER ROAD,103.856487,1.311393
NTUC FAIRPRICE CO-OPERATIVE LTD,SILAT AVENUE,103.831426,1.277077
"JEWISH WELFARE BOARD, SINGAPORE, THE",WATERLOO STREET,103.8506,1.298273
NTUC FAIRPRICE CO-OPERATIVE LTD,SCOTTS ROAD,103.832984,1.305856
NTUC FAIRPRICE CO-OPERATIVE LTD,ANG MO KIO AVENUE 6,103.847083,1.371409
NTUC FAIRPRICE CO-OPERATIVE LTD,TRAS STREET,103.843471,1.274588
NTUC FAIRPRICE CO-OPERATIVE LTD,AH HOOD ROAD,103.846476,1.327085
NTUC FAIRPRICE CO-OPERATIVE LTD,JALAN KAYU,103.872491,1.392138
COLD STORAGE SINGAPORE (1983) PTE LTD,TEMASEK BOULEVARD,103.857676,1.294879
NTUC FAIRPRICE CO-OPERATIVE LTD,FRENCH ROAD,103.861312,1.308806
COLD STORAGE SINGAPORE (1983) PTE LTD,ENGGOR STREET,103.84432,1.274618
NTUC FAIRPRICE CO-OPERATIVE LTD,SENGKANG WEST AVENUE,103.876068,1.391393
NTUC FAIRPRICE CO-OPERATIVE LTD,SENGKANG EAST AVENUE,103.892996,1.386218
NTUC FAIRPRICE CO-OPERATIVE LTD,LENGKOK BAHRU,103.813766,1.28668
NTUC FAIRPRICE CO-OPERATIVE LTD,ANG MO KIO AVENUE 10,103.856397,1.370895
NTUC FAIRPRICE CO-OPERATIVE LTD,SIN MING AVENUE,103.835445,1.363216
NTUC FAIRPRICE CO-OPERATIVE LTD,BENDEMEER ROAD,103.863905,1.319093
NTUC FAIRPRICE CO-OPERATIVE LTD,LORONG 4 TOA PAYOH,103.848993,1.338891
SF (313) PTE. LTD.,TEMASEK BOULEVARD,103.857676,1.294879
YOUR GROCER PRIVATE LIMITED,JALAN BUKIT HO SWEE,103.827081,1.288077
COLD STORAGE SINGAPORE (1983) PTE LTD,MARINA BOULEVARD,103.853349,1.280228
PAN PACIFIC INTERNATIONAL HOLDINGS PTE. LTD.,KITCHENER ROAD,103.856487,1.311393
NTUC FAIRPRICE CO-OPERATIVE LTD,ALJUNIED AVENUE 2,103.886673,1.321766
NTUC FAIRPRICE CO-OPERATIVE LTD,BEDOK NORTH STREET 1,103.93164,1.325941
NTUC FAIRPRICE CO-OPERATIVE LTD,SERANGOON NORTH AVENUE 1,103.873036,1.369799
NTUC FAIRPRICE CO-OPERATIVE LTD,MARINE PARADE CENTRAL,103.907113,1.30142
NTUC FAIRPRICE CO-OPERATIVE LTD,EAST COAST ROAD,103.925235,1.312308
NTUC FAIRPRICE CO-OPERATIVE LTD,CIRCUIT ROAD,103.88535,1.328557
NTUC FAIRPRICE CO-OPERATIVE LTD,EAST COAST ROAD,103.907989,1.308362
NTUC FAIRPRICE CO-OPERATIVE LTD,BOON LAY PLACE,103.712429,1.346348
NTUC FAIRPRICE CO-OPERATIVE LTD,CHOA CHU KANG AVENUE 4,103.74495,1.385068
NTUC FAIRPRICE CO-OPERATIVE LTD,TAMPINES STREET 11,103.945344,1.345281
NTUC FAIRPRICE CO-OPERATIVE LTD,PUNGGOL FIELD,103.912976,1.394184
NTUC FAIRPRICE CO-OPERATIVE LTD,TAMPINES STREET 83,103.934315,1.355422
NTUC FAIRPRICE CO-OPERATIVE LTD,PASIR RIS CLOSE,103.953599,1.377141
NTUC FAIRPRICE CO-OPERATIVE LTD,COMPASSVALE LINK,103.893608,1.382337
COLD STORAGE SINGAPORE (1983) PTE LTD,TAMPINES CENTRAL 1,103.945019,1.354316
NTUC FAIRPRICE CO-OPERATIVE LTD,HOUGANG AVENUE 10,103.894165,1.37178
NTUC FAIRPRICE CO-OPERATIVE LTD,MAJU AVENUE,103.865042,1.365161
NTUC FAIRPRICE CO-OPERATIVE LTD,PUNGGOL DRIVE,103.908666,1.40461
NTUC FAIRPRICE CO-OPERATIVE LTD,UPPER SERANGOON VIEW,103.903713,1.37743
NTUC FAIRPRICE CO-OPERATIVE LTD,TAMPINES AVENUE 4,103.939684,1.353496
U STARS SUPERMARKET PTE. LTD.,TAMPINES AVENUE 8,103.929364,1.351264
NTUC FAIRPRICE CO-OPERATIVE LTD,TAMPINES STREET 86,103.931624,1.355243
NTUC FAIRPRICE CO-OPERATIVE LTD,PUNGGOL DRIVE,103.913196,1.402878
NTUC FAIRPRICE CO-OPERATIVE LTD,SOUTH WOODLANDS DRIVE,103.78662,1.435078
NTUC FAIRPRICE CO-OPERATIVE LTD,CANBERRA ROAD,103.819543,1.453845
NTUC FAIRPRICE CO-OPERATIVE LTD,SEMBAWANG WAY,103.818641,1.449566
NTUC FAIRPRICE CO-OPERATIVE LTD,HOLLAND DRIVE,103.792547,1.309182
SHENG SIONG SUPERMARKET PTE LTD,WOODLANDS ROAD,103.760042,1.380605
NTUC FAIRPRICE CO-OPERATIVE LTD,WOODLANDS AVENUE 1,103.790454,1.431064
NTUC FAIRPRICE CO-OPERATIVE LTD,PETIR ROAD,103.762741,1.37835
CUTECH GREEN VENTURES PTE. LTD.,WOODLANDS INDUSTRIAL PARK E1,103.795682,1.453344
NTUC FAIRPRICE CO-OPERATIVE LTD,NORTHPOINT DRIVE,103.836142,1.428
NTUC FAIRPRICE CO-OPERATIVE LTD,WOODLANDS DRIVE 71,103.800701,1.439916
NTUC FAIRPRICE CO-OPERATIVE LTD,GHIM MOH LINK,103.784598,1.308493
NTUC FAIRPRICE CO-OPERATIVE LTD,YISHUN RING ROAD,103.841236,1.417999
SHENG SIONG SUPERMARKET PTE LTD,WOODLANDS DRIVE 16,103.798508,1.431098
NTUC FAIRPRICE CO-OPERATIVE LTD,BISHAN STREET 13,103.849692,1.348888
NTUC FAIRPRICE CO-OPERATIVE LTD,BISHAN PLACE,103.848478,1.350239
NTUC FAIRPRICE CO-OPERATIVE LTD,HOUGANG AVENUE 10,103.893662,1.372312
NTUC FAIRPRICE CO-OPERATIVE LTD,HOUGANG AVENUE 4,103.885749,1.373618
NTUC FAIRPRICE CO-OPERATIVE LTD,HOUGANG STREET 21,103.884038,1.357576
NTUC FAIRPRICE CO-OPERATIVE LTD,HOUGANG STREET 91,103.87945,1.375667
NTUC FAIRPRICE CO-OPERATIVE LTD,PASIR RIS CENTRAL STREET 3,103.949716,1.37245
NTUC FAIRPRICE CO-OPERATIVE LTD,TAMPINES CENTRAL 5,103.944388,1.352672
NTUC FAIRPRICE CO-OPERATIVE LTD,BEDOK RESERVOIR ROAD,103.921775,1.337405
SONG FISH DEALER PTE LTD,CHAI CHEE ROAD,103.922103,1.323652
U STARS PTE. LTD.,YISHUN AVENUE 4,103.83983,1.415176
SHENG SIONG SUPERMARKET PTE LTD,TANGLIN HALT ROAD,103.798022,1.302038
L M MEAT PTE. LTD.,CHAI CHEE ROAD,103.922103,1.323652
SHENG SIONG SUPERMARKET PTE LTD,PASIR RIS STREET 21,103.964618,1.367001
OH BENG GUAN,BUKIT BATOK WEST AVENUE 5,103.751896,1.363938
IROHA INTERNATIONAL PTE. LTD.,NEW BRIDGE ROAD,103.844697,1.284999
COLD STORAGE SINGAPORE (1983) PTE LTD,ANG MO KIO STREET 31,103.847677,1.364625
COLD STORAGE SINGAPORE (1983) PTE LTD,SELETAR ROAD,103.869136,1.387395
COLD STORAGE SINGAPORE (1983) PTE LTD,EAST COAST ROAD,103.905015,1.305235
CULINA PTE LTD,DEMPSEY ROAD,103.809526,1.304175
COLD STORAGE SINGAPORE (1983) PTE LTD,LORONG 4 TOA PAYOH,103.850978,1.333622
